objid,u,g,r,i,z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,redshift,redshift_err,class
1237650370475524636,22.94245,21.81501,20.50835,19.76016,19.46377,0.1962771,0.1529378,0.1058017,0.07862198,0.05848031,0.5587399,7.715821e-05,GALAXY
1237650370475655429,23.31414,22.60054,21.28482,20.12365,19.61959,0.2117025,0.1649572,0.1141166,0.08480087,0.06307627,0.5994908,0.0001196053,GALAXY
1237650370475655819,23.63191,22.36823,20.88563,19.83132,19.31095,0.2120038,0.1651919,0.114279,0.08492155,0.06316603,0.4701161,0.0002457002,GALAXY
1237650370475655838,24.49114,22.26102,20.53061,19.43018,18.98538,0.2093804,0.1631477,0.1128649,0.08387069,0.06238438,0.5629106,0.000101375,GALAXY
1237650370475656033,24.96732,23.31934,21.17931,20.05165,19.52219,0.2122403,0.1653762,0.1144065,0.08501629,0.0632365,0.5648707,0.0001498963,GALAXY
1237650370475721155,23.89878,22.09092,20.39112,19.37111,18.80145,0.2146322,0.16724,0.1156958,0.08597442,0.06394918,0.5629434,0.0001322235,GALAXY
1237649961384608201,21.36869,20.28469,19.25552,18.79357,18.31539,0.4501657,0.3507661,0.2426584,0.1803212,0.1341258,0.3660558,1.454525e-05,GALAXY
1237649961384673367,19.21673,17.24337,16.53365,16.16474,15.94477,0.4350897,0.339019,0.2345317,0.1742822,0.129634,0.03323339,9.836634e-06,GALAXY
1237649961384673406,18.89097,17.75741,17.14103,16.79827,16.62949,0.3201327,0.2494452,0.172565,0.1282343,0.09538278,0.1145037,1.145809e-05,GALAXY
1237649961384673409,20.12126,18.03772,16.98091,16.46511,15.99397,0.3080521,0.2400321,0.1660531,0.1233952,0.0917834,0.09338613,3.173892e-05,GALAXY
1237649961384673424,20.78973,18.74097,17.6084,17.15802,16.82948,0.3324317,0.2590286,0.1791948,0.1331609,0.09904725,0.1425865,3.276618e-05,GALAXY
1237649961384673444,20.46675,18.86952,17.97786,17.52124,17.21101,0.4387166,0.341845,0.2364868,0.175735,0.1307146,0.08672861,1.180972e-05,GALAXY
1237649961384673451,21.06097,18.93535,17.69994,17.2059,16.89745,0.3605591,0.2809452,0.1943566,0.1444278,0.1074277,0.1718149,3.695778e-05,GALAXY
1237649961384673581,21.24573,20.52181,19.35862,18.72428,18.25033,0.4081175,0.3180024,0.2199926,0.1634781,0.1215976,0.1656813,9.378669e-05,GALAXY
1237649961384673723,22.77015,21.09313,19.51299,18.9041,18.72476,0.3003525,0.2340326,0.1619027,0.1203111,0.08948932,0.296296,7.025991e-05,GALAXY
1237649961384738974,17.01083,15.17279,14.29074,13.85374,13.49767,0.2816931,0.2194934,0.1518445,0.1128367,0.08392981,0.02797847,1.064459e-05,GALAXY
1237649961384739005,19.81146,18.37495,17.4069,16.91601,16.59935,0.2811963,0.2191063,0.1515767,0.1126377,0.08378177,0.195518,2.003202e-05,GALAXY
1237649961384739017,16.22783,14.82673,14.13823,13.77955,13.53278,0.2789614,0.2173648,0.150372,0.1117425,0.08311589,0.02840531,1.266735e-05,GALAXY
1237649961384739035,18.8867,17.35852,16.44385,16.02022,15.71866,0.2808628,0.2188464,0.1513969,0.1125041,0.0836824,0.1149059,1.892833e-05,GALAXY
1237649961384739230,21.70046,21.00844,19.75513,19.33323,18.88589,0.3077075,0.2397636,0.1658674,0.1232572,0.09168074,0.339116,5.556924e-05,GALAXY
1237649961384739347,21.43245,20.73643,19.46954,18.92921,18.50793,0.2700416,0.2104146,0.1455638,0.1081695,0.08045825,0.3800009,4.66896e-05,GALAXY
1237649961384804527,19.35569,18.27846,17.69911,17.29712,17.10317,0.2674066,0.2083614,0.1441434,0.107114,0.07967316,0.1139483,9.728436e-06,GALAXY
1237649961384804535,21.52835,20.40245,19.23781,18.72328,18.29674,0.2650606,0.2065334,0.1428788,0.1061743,0.07897417,0.3411635,5.400586e-05,GALAXY
1237649961920757814,17.45078,16.07206,15.52853,15.19113,14.99755,0.2852343,0.2222526,0.1537534,0.1142552,0.08498489,0.05059385,1.456354e-05,GALAXY
1237649961384804573,22.24159,20.97421,19.75687,19.3229,18.80198,0.2707325,0.210953,0.1459363,0.1084463,0.08066412,0.3787621,3.33906e-05,GALAXY
1237649961384804590,21.31546,20.71761,19.70959,19.24055,19.0819,0.2657809,0.2070947,0.1432671,0.1064628,0.07918879,0.5474514,0.0001347782,GALAXY
1237649961384804740,21.27456,20.55604,19.58096,19.17576,18.90238,0.2909435,0.2267012,0.1568308,0.1165421,0.08668593,0.3196141,2.445782e-05,GALAXY
1237649961384804838,21.3451,20.28485,19.11298,18.65655,18.23934,0.2924261,0.2278564,0.15763,0.117136,0.08712767,0.3210111,4.099324e-05,GALAXY
1237649961384870120,19.73468,18.2053,17.24678,16.77307,16.44972,0.2936635,0.2288206,0.158297,0.1176317,0.08749635,0.1138202,2.704643e-05,GALAXY
1237649961384935534,18.52936,17.7419,17.41445,17.26286,17.20387,0.3789451,0.2952714,0.2042674,0.1517926,0.1129058,0.01382665,6.09059e-06,GALAXY
1237649961384935661,21.26377,20.22763,18.89121,18.37526,17.92552,0.3627982,0.2826899,0.1955636,0.1453247,0.1080949,0.2686576,5.798305e-05,GALAXY
1237649961384935809,21.53266,20.35925,19.16868,18.72431,18.47063,0.3744957,0.2918045,0.201869,0.1500103,0.1115801,0.1811563,4.225587e-05,GALAXY
1237649961385001137,18.99977,17.14022,16.2102,15.79467,15.46056,0.3393315,0.2644048,0.182914,0.1359247,0.101103,0.08701969,1.641805e-05,GALAXY
1237649961385001140,20.19811,18.55803,17.63092,17.18402,16.85778,0.3245854,0.2529148,0.1749653,0.1300179,0.09670946,0.08723022,2.674904e-05,GALAXY
1237649961385001190,20.99867,19.16128,17.79133,17.27519,16.93126,0.3259755,0.2539979,0.1757146,0.1305748,0.09712364,0.2172948,4.94222e-05,GALAXY
1237649961385001237,21.86634,20.92216,19.7617,19.44813,19.06722,0.3574251,0.2785032,0.1926672,0.1431724,0.106494,0.3557646,4.157805e-05,GALAXY
1237649961385001242,18.88009,17.91355,17.43788,17.18469,17.0647,0.3419768,0.266466,0.1843399,0.1369843,0.1018912,0.03262064,1.447349e-05,GALAXY
1237649961385001388,23.54417,20.88448,19.08836,18.42038,17.89507,0.3214936,0.2505057,0.1732987,0.1287795,0.09578827,0.4055418,0.0001023338,GALAXY
1237649961385001471,20.92063,20.30309,19.24779,18.79734,18.52216,0.3157035,0.245994,0.1701775,0.1264601,0.09406311,0.4287725,3.114195e-05,GALAXY
1237649961385001514,22.26387,21.02312,19.60573,18.99528,18.62046,0.3187099,0.2483366,0.1717981,0.1276644,0.09495884,0.2663981,7.64534e-05,GALAXY
1237649961385066565,19.00308,17.30258,16.51688,16.09036,15.7704,0.3916363,0.3051603,0.2111085,0.1568762,0.1166871,0.03270185,1.956437e-05,GALAXY
1237649961385066613,21.22814,18.89989,17.82455,17.33862,16.98929,0.3156843,0.2459791,0.1701672,0.1264525,0.0940574,0.1248483,3.513464e-05,GALAXY
1237649961385066659,20.01624,18.38364,17.45068,16.89207,16.52181,0.3544961,0.2762209,0.1910884,0.1419991,0.1056213,0.08628638,1.319949e-05,GALAXY
1237649961385066717,21.26763,19.928,18.6692,18.14828,17.82236,0.3244653,0.2528212,0.1749005,0.1299698,0.09667368,0.1929153,3.569797e-05,GALAXY
1237649961385066719,21.35756,18.98931,17.53133,16.93394,16.52631,0.3280273,0.2555966,0.1768206,0.1313966,0.09773496,0.2524225,5.099207e-05,GALAXY
1237649961921085567,19.39746,17.39532,16.34287,15.90246,15.53154,0.2670889,0.2081139,0.1439722,0.1069868,0.07957852,0.1313038,2.135488e-05,GALAXY
1237649961385066722,20.74643,19.64258,18.40206,17.89771,17.48882,0.3399184,0.2648621,0.1832304,0.1361598,0.1012779,0.1962176,5.015217e-05,GALAXY
1237649961385066742,20.30477,18.88416,17.72509,17.21164,16.79104,0.3716751,0.2896067,0.2003486,0.1488805,0.1107397,0.2079514,4.976825e-05,GALAXY
1237649961385066837,21.72933,20.8479,19.56345,18.99861,18.65461,0.3124251,0.2434395,0.1684103,0.1251469,0.09308632,0.4334541,6.672891e-05,GALAXY
1237649961385067010,22.96596,21.20965,19.84805,19.29298,18.83682,0.3634695,0.2832129,0.1959254,0.1455936,0.1082949,0.266798,3.42484e-05,GALAXY
1237649961385067047,22.45652,20.87238,19.40583,18.84924,18.41038,0.3793445,0.2955826,0.2044827,0.1519525,0.1130248,0.2692809,5.728663e-05,GALAXY
1237649961385132254,20.09199,18.33963,17.50334,17.08334,16.81464,0.3997308,0.3114675,0.2154718,0.1601186,0.1190988,0.08689621,2.876289e-05,GALAXY
1237649961385132361,21.59892,21.3737,20.2002,19.69378,19.35019,0.4013714,0.3127459,0.2163562,0.1607758,0.1195877,0.2425189,0.0001065859,GALAXY
1237649961385132370,21.79614,20.3088,18.81413,18.25068,17.90402,0.3765792,0.293428,0.2029921,0.1508449,0.1122009,0.2696049,5.136159e-05,GALAXY
1237649961385132521,22.57955,20.23874,18.68174,18.01084,17.56893,0.4080108,0.3179193,0.2199351,0.1634353,0.1215659,0.2685357,4.668001e-05,GALAXY
1237649961385132552,21.71604,20.61369,19.35489,18.89016,18.32924,0.4071159,0.317222,0.2194527,0.1630769,0.1212992,0.2691325,8.718602e-05,GALAXY
1237649961385197683,19.71054,18.29165,17.43447,16.94007,16.64314,0.3619456,0.2820255,0.195104,0.1449832,0.1078408,0.1242904,1.044956e-05,GALAXY
1237649961385197692,19.90106,17.95525,16.91732,16.46159,16.10621,0.3466873,0.2701364,0.1868791,0.1388712,0.1032947,0.1243821,2.188631e-05,GALAXY
1237649961385197699,20.15806,18.05787,17.06985,16.56189,16.20526,0.3458907,0.2695157,0.1864497,0.1385521,0.1030573,0.09304613,2.029885e-05,GALAXY
1237649961385197805,20.44449,18.41034,17.37943,16.89413,16.53575,0.3460643,0.2696509,0.1865433,0.1386216,0.103109,0.1253922,3.115265e-05,GALAXY
1237649961385197994,21.4222,20.89532,19.43968,18.83446,18.41787,0.3573085,0.2784123,0.1926044,0.1431257,0.1064592,0.4048649,9.225888e-05,GALAXY
1237649961385263277,20.24137,18.42537,17.35164,16.87744,16.50928,0.3250504,0.2532771,0.1752159,0.1302042,0.096848,0.1255516,3.070238e-05,GALAXY
1237649961385263285,20.0153,17.95853,16.93392,16.46118,16.08783,0.3517104,0.2740504,0.1895868,0.1408833,0.1047913,0.09316491,1.769916e-05,GALAXY
1237649961385263538,21.63579,20.58633,19.2496,18.81665,18.38995,0.3340595,0.2602969,0.1800722,0.1338129,0.09953224,0.378846,7.350707e-05,GALAXY
1237649961385263616,21.758,20.89103,19.57098,19.04372,18.77238,0.315418,0.2457715,0.1700236,0.1263458,0.09397804,0.4399653,4.869728e-05,GALAXY
1237649961385263633,22.4377,20.53352,18.68027,18.04095,17.65881,0.3214217,0.2504496,0.1732599,0.1287507,0.09576683,0.3527994,8.568106e-05,GALAXY
1237649961385263684,21.4937,21.02699,19.7144,19.21181,18.6062,0.3168608,0.2468958,0.1708014,0.1269237,0.09440792,0.4117254,8.397327e-05,GALAXY
1237649961385328748,20.80125,18.85044,17.74812,17.24112,16.85016,0.3305017,0.2575247,0.1781544,0.1323878,0.09847222,0.1289527,3.216838e-05,GALAXY
1237649961385328865,17.76543,15.87471,14.97826,14.51429,14.16387,0.345847,0.2694816,0.1864261,0.1385346,0.1030443,0.05897574,1.214364e-05,GALAXY
1237650370475721228,24.68172,21.54475,19.94073,19.1536,18.72388,0.2158333,0.1681758,0.1163433,0.08645551,0.06430701,0.4564005,9.109473e-05,GALAXY
1237650370475721397,24.41408,23.42526,21.75211,20.19129,19.81335,0.2209309,0.1721479,0.1190911,0.08849747,0.06582586,0.7449462,0.0001438964,GALAXY
1237650370475721498,23.47011,22.67182,21.39545,19.99528,19.59026,0.2115232,0.1648175,0.11402,0.08472905,0.06302284,0.6152893,0.0001698789,GALAXY
1237650370475786337,23.81721,23.23102,21.15437,19.89593,19.43904,0.2192287,0.1708215,0.1181736,0.08781562,0.06531869,0.6360358,0.0001703483,GALAXY
1237650370475786722,24.80382,21.94131,20.14226,19.33513,18.71898,0.2227992,0.1736036,0.1200982,0.08924583,0.0663825,0.4689388,0.0001387396,GALAXY
1237650370475786750,23.69683,22.11214,20.59485,19.24942,18.74661,0.2190285,0.1706655,0.1180656,0.08773541,0.06525902,0.5662348,0.0001079435,GALAXY
1237650370475786847,22.55676,21.68089,20.63586,19.81854,19.34168,0.2200195,0.1714377,0.1185998,0.08813237,0.0655543,0.6930935,0.0001149805,GALAXY
1237650370475786903,22.18546,21.49404,20.74554,19.79732,19.61874,0.2231249,0.1738574,0.1202737,0.08937629,0.06647953,0.7379888,0.0001239754,GALAXY
1237650370475787039,23.57578,21.23785,19.42868,18.76021,18.3814,0.2173094,0.169326,0.117139,0.08704681,0.06474683,0.4003808,7.876587e-05,GALAXY
1237650370475787096,22.88564,22.79618,21.18861,19.83426,19.34581,0.220199,0.1715775,0.1186966,0.08820426,0.06560776,0.6258588,0.000187427,GALAXY
1237650370475787216,23.44083,22.62512,20.85111,19.69288,19.38268,0.2193074,0.1708829,0.118216,0.08784714,0.06534213,0.5714007,9.022974e-05,GALAXY
1237650370475852230,24.40924,22.29197,20.60456,19.71963,19.4205,0.2186841,0.1703972,0.11788,0.08759747,0.06515642,0.4943136,9.579841e-05,GALAXY
1237650370475852286,23.44167,22.53146,20.84446,19.85645,19.469,0.2098669,0.1635269,0.1131271,0.08406559,0.06252935,0.5643271,0.0001216387,GALAXY
1237650370475852401,22.20049,21.84123,21.07092,20.22318,19.89089,0.2280347,0.1776831,0.1229204,0.091343,0.06794241,0.6193095,8.371577e-05,GALAXY
1237650370475852509,23.42261,24.32161,21.50857,20.22948,19.81655,0.248429,0.1935742,0.1339137,0.09951226,0.07401884,0.6928384,0.000220906,GALAXY
1237650370475852645,23.79687,22.79134,21.05577,19.9266,19.19858,0.2102793,0.1638483,0.1133495,0.0842308,0.06265224,0.5660282,0.0002165772,GALAXY
